Company,hybrid,traits,relativeMaturity,Centre.bshl_acr,Clinton.bshl_acr,Indiana.bshl_acr,Tioga.bshl_acr,Northumberland.bshl_acr,Lehigh.bshl_acr,Lycoming.bshl_acr,York.bshl_acr,zone,harvestType
Augusta,Augusta 2050,32,99,170.4,199.3,176.7,162.4,,,,,1,early
Augusta,Augusta 2250,6,99,147.7,187.4,172.9,114.1,,,,,1,early
Augusta,Augusta 1946,6,96,146.5,171.3,189.2,150.9,,,,,1,early
Channel,193-91VT2PRIB,31,93,145.3,177.6,173.6,139.8,,,,,1,early
Channel,195-51STXRIB,34,95,163.3,178.9,173.9,148.9,,,,,1,early
Channel,196-71VT2PRIB,31,96,144.4,186.0,174.3,157.3,,,,,1,early
Channel,198-82SSPRIB,34,98,166.8,196.3,189.5,151.8,,,,,1,early
Chemgro,5705V4Z,8,97,156.3,172.3,157.9,139.1,,,,,1,early
Chemgro,5836RTC,33,98,142.5,203.8,169.8,157.6,,,,,1,early
Chemgro,6029D4Z,10,100,148.0,181.2,176.1,145.6,,,,,1,early
Hubner,H6007RCSS,34,90,145.5,162.3,157.6,141.6,,,,,1,early
Hubner,H6134RCSS,34,96,146.8,192.5,183.4,145.9,,,,,1,early
Hubner,H4114RC2P,31,97,154.2,187.6,161.2,160.1,,,,,1,early
Revere,Revere 9108 VT2PRIB,31,91,152.2,166.9,175.7,154.1,,,,,1,early
Revere,Revere 9598 5222EZ,11,95,139.2,156.6,170.0,123.9,,,,,1,early
Revere,Revere 9796 3220EZ,8,97,152.9,192.0,171.9,159.4,,,,,1,early
Revere,Revere 9916 VT2PRIB,31,99,152.5,189.0,156.6,144.1,,,,,1,early
Seed Consultants,SC951AM,23,95,163.1,194.5,158.8,142.6,,,,,1,early
Seed Consultants,SC973AM,23,97,144.8,191.2,169.4,151.3,,,,,1,early
Growmark,FS 4927T RIB,33,99,150.2,202.3,174.2,153.0,,,,,1,early
Augusta,1359,31,108,151.2,193.3,,,224.0,,,,2,mid
Augusta,3655,31,105,159.6,213.7,,,224.3,,,,2,mid
Channel,200-42VT2PRIB,31,100,162.9,196.4,,,180.7,,,,2,mid
Channel,201-07SSPRIB,34,101,170.4,197.2,,,214.7,,,,2,mid
Channel,203-70TRERIB,33,103,162.3,187.4,,,209.5,,,,2,mid
Channel,206-16SSPRIB,34,106,156.3,182.3,,,207.7,,,,2,mid
Channel,207-87VT2PRIB,31,107,160.5,215.8,,,239.0,,,,2,mid
Chemgro,6029D4Z,10,100,148.5,183.3,,,184.8,,,,2,mid
Chemgro,6535RDD,31,105,160.2,208.4,,,212.2,,,,2,mid
Chemgro,6725RDP,31,107,161.8,201.0,,,192.3,,,,2,mid
Hubner,H6358RCSS,34,103,160.2,187.6,,,213.2,,,,2,mid
Hubner,0570S,34,105,146.6,175.4,,,217.3,,,,2,mid
Hubner,H0881D,31,108,149.7,206.5,,,216.8,,,,2,mid
Revere,297 VT2PRIB,31,102,157.6,199.7,,,194.0,,,,2,mid
Revere,518 VT2PRIB,31,105,146.9,197.7,,,223.3,,,,2,mid
Revere,707 DGVT2PRIB,31,107,150.6,198.0,,,223.5,,,,2,mid
Seed Consultants,SC1003AM,23,100,174.1,179.2,,,202.4,,,,2,mid
Seed Consultants,SC1042Q,36,104,158.4,213.2,,,216.1,,,,2,mid
Seed Consultants,SC1071AM,23,107,153.1,198.6,,,227.5,,,,2,mid
Syngenta,NK0696-5122,10,106,146.1,200.5,,,214.4,,,,2,mid
Growmark,FS 5115X RIB,34,101,165.3,198.8,,,209.1,,,,2,mid
Growmark,FS 5722V RIB,31,107,177.3,186.4,,,200.4,,,,2,mid
