"mukey","ksat_r"
544800,9.1700001
544802,1.8069354283871
544804,1.8069354283871
544805,21.879999
544813,91.739998
544817,23.290001
544820,9.1700001
544821,0.5
544822,0.5
544823,0.5
544824,1.803105208
544825,1.803105208
544827,0.92000002
544829,4.33574345177843
544833,0.92000002
544834,0.92000002
544835,21.879999
544836,21.879999
544838,21.879999
544842,22.4052938627451
544849,17.3737023879277
544859,2.3299999
544870,36.1173944789916
544871,31.1806450344086
544872,33.0782607478261
544873,32.1436891961165
544885,2.8199999
544886,37.700159704127
544887,7.7600002
544889,7.7600002
544891,7.7600002
544896,2.3299999
544899,2.3299999
544902,2.3299999
544903,2.3299999
544913,2.6310842373494
544924,28.23
544926,0.70999998
544929,20.8582218324444
544930,0.92000002
544931,0.92000002
544932,0.92000002
544933,0.92000002
544934,0.92000002
544936,1.90912561759563
544938,9.1700001
544939,NA
544946,21
544947,21
544948,21
2871609,1.76831392430233
