"mukey","rootznemc"
398852,0
398853,150
398854,150
398855,150
398856,150
398857,150
398858,150
398859,150
398860,150
398863,150
398864,150
398865,150
398866,150
398867,150
398868,150
398869,150
398870,150
398871,150
398872,150
398873,150
398874,150
398875,150
398876,150
398877,150
398878,150
398879,150
398880,150
398881,150
398882,150
398883,150
398884,150
398885,150
398886,150
398887,150
398888,150
398889,150
398890,150
398891,150
398892,150
398893,150
398894,150
398895,150
398896,150
398897,150
398898,150
398899,150
398900,150
398901,150
398902,150
398903,150
398904,150
398905,150
398906,150
398907,150
398908,150
398909,150
398910,150
398911,150
398912,150
398913,150
398914,150
398915,150
398916,52
398917,18
398918,NA
3115168,150
3115169,150
3115170,150
3115171,150
74975,150
74976,150
74977,150
74978,150
74979,150
74980,150
74981,84
74982,84
74983,72
74984,150
74985,94
74986,79
74987,150
74988,96
74989,150
74990,150
74991,150
74992,150
74993,150
74994,150
74995,58
74996,74
74997,150
74998,150
74999,NA
75000,81
75001,99
75002,150
75003,150
75004,99
75005,89
75006,106
75007,76
75008,76
75009,150
75010,NA
75011,NA
75012,68
75013,NA
75014,74
75015,74
75016,80
75017,150
75018,150
75019,66
75020,150
75021,66
75022,66
75023,66
75024,150
75025,150
75026,89
75027,89
75028,83
75029,150
75030,150
75031,150
75032,150
75033,150
75034,150
75035,150
75036,150
75037,61
75038,112
75039,112
75040,112
75041,112
75042,150
75043,76
75044,76
75045,150
75046,150
75047,150
75048,150
75049,68
75050,64
75051,150
75052,150
75053,150
75054,150
75055,NA
75056,126
75057,79
75058,79
75059,79
75060,127
75061,132
75062,150
75063,150
75064,150
75065,150
75066,150
75067,150
75068,150
75069,150
75070,150
75071,150
75072,150
75073,150
75074,150
75075,150
75076,76
75077,150
75078,150
75079,150
75080,150
75081,150
75082,150
75083,150
75084,150
75085,124
75086,124
75087,124
75088,150
75089,122
75090,68
75091,41
75092,150
75093,102
75094,102
75095,102
75096,61
75097,96
75098,96
75099,79
75100,150
75101,74
75102,150
75103,94
75104,46
75105,48
75106,41
75107,150
75108,150
75109,150
75110,104
75111,150
75112,150
75113,150
75114,150
75115,104
75116,150
75117,150
75118,150
75119,150
75120,150
75121,150
75122,91
75123,147
75124,91
75125,150
75126,150
75127,150
75128,43
75129,64
75130,64
75131,110
75132,150
75133,150
75134,147
75135,53
75136,53
75137,150
75138,150
75139,46
75140,150
75141,150
75142,150
75143,150
75144,150
75145,147
75146,150
75147,150
75148,150
75149,64
75150,64
75151,80
75152,64
75153,64
75154,64
75155,64
75156,147
75157,150
75158,76
75159,76
75160,150
75161,89
75162,150
75163,150
75164,150
75165,150
75166,150
75167,NA
621162,145
621168,147
621169,147
621170,147
621171,147
621173,147
621177,147
621181,145
621184,46
621202,62
621203,147
621205,147
621208,147
621222,149
621315,45
621316,145
621318,71
621319,142
621453,145
621454,150
621455,145
621456,145
621534,147
621535,147
621536,82
621538,147
621540,132
621541,45
621548,147
621758,101
621759,90
621770,69
621820,55
621821,145
621822,145
621823,145
621824,145
621826,65
621827,113
621828,45
621829,145
621830,111
621831,133
621832,147
621833,145
621834,147
621835,NA
699217,145
699218,145
699219,145
699220,145
699221,142
699222,142
699223,145
699224,142
699225,142
699226,145
699227,142
699228,142
699229,150
699230,145
699231,146
699232,150
699233,145
2408721,145
2408722,150
2408723,145
2409838,147
2409839,150
2409840,146
2409841,144
2409842,150
2409843,150
2409859,145
2409860,147
2409861,147
2409862,147
2409863,145
2409864,66
2409865,109
2409866,147
2409867,147
2409868,147
2409869,147
2409870,67
2409871,67
2409872,147
2848285,150
2848286,150
2848287,149
2848288,147
2848289,150
2848290,150
2848291,150
2848292,150
2848293,148
2848294,150
2848295,150
2848296,149
2848297,148
2848298,147
2848300,146
2848301,147
2848302,147
2848303,150
2848304,104
2848305,148
2848306,148
2848309,NA
2995307,93
2995308,148
2995309,146
3164831,146
3164832,146
3164833,145
3164834,146
3164835,145
3164836,145
3164837,145
3164838,146
3164839,147
3164840,146
3164841,146
3164842,145
3164843,147
3164844,146
3164845,145
3164846,147
3164847,146
3164853,113
3164854,135
3164855,142
3164856,93
3164857,87
3164858,77
3164859,147
3164860,131
3164861,145
3164862,145
3164863,145
3164864,112
3164865,129
3164866,147
3164867,146
3164868,150
3164869,147
3164870,147
3164871,147
1700202,147
2247147,144
2247646,150
2409820,129
2409823,117
2409826,126
2409827,133
2409828,104
2409829,147
2421681,85
2421682,144
2421684,146
2421688,74
2421699,148
2421700,116
2421701,55
2481015,37
2481016,40
2481017,NA
2487346,149
2487347,102
2487351,146
2487352,149
2487354,144
2487355,145
2487356,146
2487358,145
2487359,143
2487361,124
2487365,143
2487366,142
2487369,148
2396646,146
2396648,146
2396649,78
2396670,146
2396671,146
2396672,146
2396673,146
2396674,150
2396675,145
2396677,147
2396679,147
2396680,147
2396681,149
2396709,144
2396714,145
2396715,108
2396717,142
2396730,124
2396731,147
2396732,145
2396734,121
2396735,121
2396736,NA
2396737,NA
2396738,147
2396739,146
2396742,147
2396743,130
2396745,144
2396746,146
2396747,147
2396748,147
2396750,119
2396751,146
2396754,146
2396755,146
2396756,71
2396757,84
2396758,84
2396760,84
2396761,99
2396762,99
2396763,99
2396764,143
2396765,143
2396767,84
2396769,84
2396771,99
2396772,99
2396773,79
2396774,145
2396775,145
2396776,146
2396777,146
2396778,144
2396779,144
2396780,145
2396781,145
2396782,145
2396783,145
2396784,145
2396785,118
2396786,118
2396787,118
2396788,146
2396789,146
2396790,146
2396791,146
2396792,146
2396793,79
2396794,89
2396795,79
2396801,89
2396804,147
2396805,125
2396806,146
2396807,146
2396808,146
2396809,146
2396810,146
2396811,146
2396812,62
2396813,62
2396814,146
2396815,146
2396816,146
2396817,105
2396818,105
2396819,101
2396820,105
2396821,105
2396822,105
2396823,105
2396824,108
2396825,113
2396826,109
2396827,107
2396828,107
2396829,113
2396830,113
2396831,115
2396832,115
2396833,114
2396834,104
2396835,104
2396836,104
2396837,104
2396838,104
2396839,83
2396840,83
2396841,83
2396842,89
2396843,83
2396844,98
2396845,98
2396846,98
2396849,98
2396850,109
2396851,145
2396852,145
2396853,143
2396855,146
2396856,146
2396857,144
2396858,145
2396859,144
2396860,145
2396861,144
2396862,142
2396863,145
2396864,147
2396865,145
2396866,144
2396867,146
2396868,142
2396869,146
2396870,140
2397004,145
2397005,142
2397006,144
2397007,145
2397009,144
2397010,145
2397011,144
2397013,145
2397015,146
2397016,146
2397017,146
2397019,145
2397021,144
2397024,145
2397025,144
2397026,142
2397027,141
2397028,143
2397029,145
2397030,142
2397032,143
2397034,146
2397035,145
2397039,145
2397040,144
2397041,142
2397042,144
2397043,147
2397044,131
2397046,147
2397047,145
2397048,145
2397049,145
2397050,148
2397052,146
2397054,145
2397055,144
2397056,145
2397057,144
2397058,144
2397061,94
2397062,109
2397063,147
2397064,148
2397065,145
2397066,145
2397067,145
2397419,136
2397421,136
2397422,145
2397423,146
2397425,141
2397426,141
2397427,133
2397428,121
2397429,145
2397430,105
2397433,124
2397435,136
2397436,137
2397438,147
2397439,142
2397443,143
2397444,147
2397445,147
2397446,147
2397447,144
2397448,144
2397449,145
2397450,145
2397453,143
2397454,143
2397456,143
2397459,148
2397467,144
2397468,143
2397469,147
2397470,145
2397471,144
2397472,144
2397473,144
2397474,140
2397475,141
2397476,142
2397477,142
2397478,146
2397480,140
2397481,147
2397482,145
2397483,143
2397484,145
2397485,145
2397486,146
2397488,147
2397489,145
2432594,NA
2850957,71
2850958,144
2850959,150
2850960,145
2850961,145
2850962,148
2850963,127
2850964,150
2850965,150
2850966,102
2850967,148
2850968,147
2850969,147
2850970,106
2850971,145
2850972,98
2850973,145
2850974,147
2850976,145
2850977,145
2850978,146
2850979,145
2850980,145
2850981,145
2850982,142
2850983,145
2850984,145
2850985,71
2850986,145
2850987,60
2850988,150
2850989,145
2850990,145
2850991,145
2850992,76
2850993,145
2850995,119
2850996,119
2850997,119
2850998,104
2850999,104
2851000,142
2851001,145
2851002,150
2851003,145
2851004,145
2851005,NA
2851006,146
2851007,145
2851008,145
2851010,76
2851011,51
2851012,150
2851013,74
2851014,118
2851015,76
2851016,66
2851017,115
2851018,150
2851019,145
2851020,145
2851021,45
2851022,150
2851023,145
2851024,110
2851025,112
2851026,147
2851027,120
2851028,150
2851029,66
2936630,147
2936631,51
2936632,145
2936633,121
2936634,69
2936635,76
2936636,105
2936638,105
2936639,68
2936640,62
2936641,76
2936642,132
2936643,150
2936644,150
2936645,150
2936646,58
2936647,120
2936648,145
2936649,90
2936650,145
2936651,120
2936652,150
2936653,150
2936654,76
2936655,69
2936656,150
2936657,51
2936658,145
2936659,147
2936661,62
2936662,147
2936663,150
2936664,27
2936665,150
2936666,147
2936667,147
2936668,147
2936669,147
2936670,112
2936671,139
2936672,145
2936673,147
2936674,150
2936675,48
2936676,112
2936677,147
2936678,27
2936679,150
2936680,150
2936681,106
2936682,147
2936683,145
2936684,62
2936685,147
2936686,106
2936687,147
2936688,119
2936689,93
2936690,150
2936691,NA
2936692,147
2936693,27
2936694,147
2936695,48
2936696,147
2936697,146
2936698,150
2936700,147
2936701,147
2936702,147
2936703,145
2936704,146
2936705,150
2936706,142
2936707,132
2936708,31
2936709,150
2936710,145
2936711,142
2936712,145
2936713,145
2936714,143
2936715,145
2936716,147
2936717,145
2936718,145
2936719,145
2936720,145
2936721,142
2936722,145
2936723,142
2936724,147
2936725,145
2936726,145
2936727,145
2936728,147
2936729,147
2936730,145
2936731,145
2936732,150
2936733,145
2936734,145
2936735,145
2936736,142
2936737,145
2936738,150
2936739,145
2936740,132
2936741,145
2936742,145
2936743,145
2936744,145
2936745,145
2936746,145
2936747,145
2936748,145
2936749,145
2936750,142
2936751,145
2936752,145
2936753,147
2936754,NA
2936755,150
2936756,31
2936757,145
2936758,147
2936759,147
2936760,NA
2936761,145
2936762,150
2936763,145
2936764,145
2936765,142
2936766,142
2936767,145
2936768,145
2936769,148
2936770,142
2936819,120
2936820,145
2936821,150
2936822,81
2936823,150
2936824,150
2936825,76
2936826,150
2936827,68
2936828,127
2936829,150
2936830,65
2936831,150
2936832,150
2936833,76
2936834,132
2936835,66
2936836,65
2936837,150
2936838,NA
2936839,68
2936840,71
2936841,91
2936842,41
2936843,150
2936844,58
2936845,150
2936846,145
2936847,113
2936848,145
2936850,66
2936851,65
2936852,134
2936853,91
2936872,120
3044485,145
3044486,142
3044487,93
3044488,87
3044489,143
2651299,150
2651300,150
2651301,150
2651302,150
2651303,147
2651304,150
2651305,142
2651306,143
2651307,150
2651308,147
2651309,147
2651310,147
2651311,150
2651312,131
2651313,150
2651314,150
2651315,147
2651316,150
2651317,150
2651318,150
2651319,82
2651320,63
2651321,55
2651322,121
2651323,120
2651324,80
2651325,82
2651326,94
2651327,94
2651328,103
2651329,91
2651330,91
158304,NA
158303,150
158302,150
158301,150
158300,150
158299,150
158298,94
158297,94
158296,91
158295,91
158294,150
158293,150
158292,150
158291,150
158290,150
158289,150
158288,150
158287,150
158286,150
158285,150
158284,150
158283,147
158282,150
158281,76
158280,76
158279,150
158278,150
158277,150
158276,150
158275,150
158274,150
158273,150
158272,150
158271,150
158270,150
158269,150
158268,150
158267,150
158266,150
158265,150
158264,150
158263,150
158262,150
158261,150
158260,150
158259,150
158258,150
158257,150
158256,150
158255,150
158254,150
158253,150
158252,150
158251,150
158250,150
158249,150
158248,150
158247,150
158246,150
158245,150
158244,150
158243,81
158242,76
158241,81
158240,76
158239,150
158238,150
158237,150
158236,91
158235,150
158234,150
158233,150
158232,150
158231,150
158230,150
158229,149
158228,150
158227,146
158226,94
158225,94
158224,94
158223,150
158222,150
158221,150
158220,150
158219,150
158218,146
158217,146
158216,146
158215,146
158214,146
158213,146
158212,150
158211,132
158210,132
158209,61
158208,61
158207,150
158206,150
158205,150
158204,150
158203,150
158202,150
158201,150
158200,150
158199,97
158198,150
158197,150
158196,150
158195,66
158194,66
158193,66
158192,66
158191,64
158190,150
158189,66
158188,66
158187,150
158186,150
158185,146
158184,146
158183,146
158182,146
158181,38
158180,38
158179,150
158178,38
158177,150
158176,150
158175,150
158174,145
158173,145
158172,150
158171,150
158170,150
158169,35
158168,150
158167,146
158166,36
158165,61
158164,150
158163,66
158162,68
158161,150
158160,58
158159,150
158157,150
158156,150
158155,150
158154,NA
158153,NA
158152,150
158151,150
158150,150
158149,150
158148,150
158147,150
158146,76
158145,96
158144,76
158143,76
158142,76
158141,76
158140,150
158139,150
158138,150
158137,150
158136,66
158135,66
158134,96
158133,66
158132,66
158131,66
158130,66
158129,66
158128,150
158127,66
158126,66
158125,66
158124,66
158123,96
158122,68
158121,150
158120,150
158119,150
158118,150
158117,150
158116,107
158115,41
158114,41
158113,150
158112,96
158111,150
158110,63
158109,63
158108,146
158107,146
158106,146
158105,146
158104,150
158103,65
158102,65
158101,96
158100,65
158099,150
158098,150
158097,58
158096,58
158095,58
158094,58
158093,96
158092,96
158091,96
158090,150
158089,96
158088,96
158087,150
158086,150
158085,150
158084,150
158083,150
158082,150
158081,150
158080,150
158079,150
158078,150
158077,150
158076,150
158075,150
158074,150
158073,150
158072,150
158071,150
158070,150
158069,150
158068,150
158067,150
158066,150
158064,91
158060,150
158059,150
158058,150
158057,150
158056,146
2651331,106
2651332,145
2651333,133
2651334,133
2651335,114
2651336,145
2651337,145
2662838,134
2662839,134
2850700,91
2850701,91
2850702,91
2850703,120
2850704,120
2850705,120
2850706,120
2850707,120
2850708,120
2850709,120
2585490,124
2585491,127
2585492,150
2585498,150
2585500,150
2585502,150
