"soilid","SMFCF","SM0","SMW","CRAIRC","SOPE","KSUB","RDMSOL","WAV"
"ec1",0.11,0.39,0.04,0.09,12.47,24.03,110,25
"ec2",0.272,0.39,0.099,0.075,1.32,2.05,110,25
"ec3",0.3,0.41,0.104,0.06,1.47,1.47,110,25
"ec4",0.46,0.57,0.3,0.05,0.55,0.37,110,25
"ec5",0.528,0.63,0.444,0.04,0.55,0.37,110,25
"ec6",0.522,0.73,0.13,0.1,13,15,110,25
"m01",0.19,0.39,0.04,0.09,10,10,110,25
"m02",0.32,0.43,0.1,0.075,10,10,110,25
"m03",0.35,0.45,0.1,0.075,10,10,110,25
"m04",0.35,0.45,0.16,0.075,10,10,110,25
"m05",0.35,0.45,0.22,0.075,10,10,110,25
"soil_5",0.263,0.4,0.1,0.09,10,10,110,25
"spg002",0.188,0.4,0.1,0.09,10,10,110,25
"spg003",0.213,0.4,0.1,0.09,10,10,110,25
"spg004",0.238,0.4,0.1,0.09,10,10,110,25
"spg005",0.263,0.4,0.1,0.09,10,10,110,25
"spg006",0.288,0.4,0.1,0.09,10,10,110,25
"spg007",0.313,0.4,0.1,0.09,10,10,110,25
"sr1",0.148,0.371,0.03,0.09,12.47,24.03,110,25
"sr2",0.221,0.432,0.045,0.09,4.56,15.13,110,25
"sr3",0.272,0.449,0.067,0.09,3.88,6.82,110,25
"sr4 ",0.212,0.417,0.041,0.09,20.52,11.51,110,25
