"mukey","grid.ids","n"
542049,321260,104
542049,321261,180
542050,321261,31
542051,321261,43
542052,321260,124
542052,321261,422
542053,319871,98
542053,319872,38
542054,319871,146
542054,319872,11
542054,321257,1
542054,321258,11
542056,319875,179
542056,321261,4
542057,318488,106
542057,319871,211
542057,319872,264
542057,319873,25
542058,318487,64
542058,319873,15
542059,318487,12
542059,321257,35
542060,318487,29
542060,321257,75
542061,318487,35
542061,319873,4
542061,321257,3
542064,319871,208
542064,319872,23
542067,318487,47
542067,318488,9
542067,319871,17
542067,319874,13
542067,319875,23
542067,321260,17
542067,321261,40
542068,319871,91
542068,319872,52
542068,321259,53
542069,319873,180
542069,319874,628
542069,319875,115
542069,321259,25
542069,321260,271
542069,321261,94
542071,318487,76
542071,319873,50
542071,321259,38
542072,319873,34
542074,318488,150
542074,319871,176
542074,319872,28
542074,319873,22
542075,318488,93
542075,319871,76
542075,321261,27
542076,318487,31
542076,319871,2
542076,319873,303
542076,321259,274
542076,321260,17
542077,319873,149
542078,318488,219
542078,319872,18
542078,319873,2247
542078,319874,2801
542078,319875,610
542078,321258,13
542078,321259,2946
542078,321260,410
542078,321261,125
542079,318488,8
542079,319872,102
542079,319873,783
542079,319874,219
542079,319875,96
542079,321259,3333
542079,321260,91
542079,321261,14
542080,321257,23
542082,318487,236
542082,318488,252
542082,319871,273
542082,319872,430
542082,319873,329
542082,319874,156
542082,321257,9
542082,321258,127
542082,321259,79
542082,321260,345
542082,321261,18
542083,318487,131
542083,319871,365
542083,319872,412
542083,319873,274
542083,321257,35
542083,321258,667
542083,321259,26
542084,318487,146
542084,318488,140
542084,319872,155
542084,319873,102
542084,319874,1231
542084,321257,19
542084,321258,17
542084,321259,124
542085,318487,96
542085,318488,127
542085,319872,393
542085,319873,656
542085,319874,262
542085,321257,12
542085,321258,45
542085,321259,132
542086,318487,37
542086,319871,72
542086,319872,201
542086,319873,298
542086,321257,24
542087,321257,67
542087,321258,25
542087,321259,6
542087,321260,7
542088,321260,92
542089,321257,74
542089,321260,43
542090,318488,61
542090,319871,44
542090,319872,38
542090,319873,62
542090,319874,3783
542090,319875,648
542090,321258,13
542090,321259,284
542090,321260,959
542090,321261,819
542091,318488,136
542091,319871,4
542091,319873,100
542091,319874,3260
542091,319875,391
542091,321259,718
542091,321260,1620
542091,321261,441
542092,318488,440
542092,319871,70
542092,319873,68
542092,319874,304
542092,319875,5
542092,321257,281
542092,321259,129
542092,321260,131
542093,318487,11
542093,318488,72
542093,319871,23
542093,319873,247
542093,319874,754
542093,319875,148
542093,321257,15
542093,321259,393
542093,321260,673
542093,321261,344
542094,318487,12
542094,319873,142
542094,319874,216
542094,319875,418
542094,321259,450
542094,321260,359
542094,321261,190
542095,318488,73
542095,319873,33
542095,319874,530
542095,319875,651
542095,321259,43
542095,321260,1878
542095,321261,960
542096,319872,10
542096,319875,59
542096,321260,26
542096,321261,184
542097,321260,242
542097,321261,554
542098,321260,115
542098,321261,142
542099,319875,61
542099,321261,150
542100,319874,57
542100,319875,130
542100,321260,58
542100,321261,1071
542101,321260,88
542101,321261,829
542102,319871,621
542102,319872,121
542102,321258,8
542103,318487,50
542103,319871,232
542103,319872,114
542103,319873,93
542103,321258,75
542104,319874,49
542104,321259,93
542105,318487,5
542106,318488,129
542106,319873,1
542106,319874,204
542106,319875,53
542106,321259,157
542106,321261,168
542107,319871,52
542107,319872,79
542107,321257,1
542107,321258,16
542108,318488,9
542108,319871,140
542108,319872,197
542108,321257,100
542108,321258,84
542109,319871,11
542109,319872,20
542109,319873,112
542110,321260,88
542110,321261,47
542111,318487,564
542111,318488,298
542111,319871,55
542111,319872,633
542111,319873,510
542111,319874,227
542111,321257,90
542111,321258,218
542111,321259,55
542111,321260,243
542112,318487,442
542112,318488,145
542112,319871,99
542112,319872,408
542112,319873,573
542112,319874,178
542112,321257,18
542112,321258,205
542112,321259,203
542113,318487,581
542113,318488,20
542113,319871,221
542113,319872,592
542113,319873,939
542113,321258,312
542113,321259,106
542114,318487,1609
542114,318488,1278
542114,319871,493
542114,319872,4940
542114,319873,4026
542114,319874,1082
542114,321257,475
542114,321258,1138
542114,321259,114
542115,318487,177
542115,318488,435
542115,319872,158
542115,319873,1322
542115,319874,198
542115,321258,48
542115,321259,214
542115,321260,34
542116,318487,514
542116,318488,1911
542116,319871,24
542116,319872,1471
542116,319873,3090
542116,319874,880
542116,321258,91
542116,321259,3172
542117,319871,440
542117,319872,165
542117,319873,10
542117,321257,1
542117,321258,24
542118,319874,422
542119,318488,59
542119,319874,215
542119,321259,25
542120,318488,22
542120,319874,284
542121,319871,142
542122,318487,55
542122,318488,186
542122,319871,193
542122,319872,397
542122,319873,243
542122,319874,95
542122,319875,335
542122,321257,148
542122,321258,44
542122,321260,1356
542122,321261,355
542123,318487,139
542123,318488,223
542123,319871,21
542123,319872,3
542123,319873,471
542123,321257,6
542123,321258,18
542123,321259,31
542124,318487,30
542124,319871,5
542124,319872,137
542124,319873,400
542124,321258,82
542124,321259,1
542125,319871,191
542125,319873,25
542125,321257,182
542125,321258,28
542126,318488,42
542126,319873,218
542126,319874,378
542126,319875,25
542126,321261,64
542127,318487,3
542127,319871,19
542127,319873,139
NA,NA,198427
