## Site Characteristics
Country     = 'USA'
Station     = '289379'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.3402; Latitude = 40.7529; Elevation = 416.07; AngstromA = 0.21; AngstromB = 0.48; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7966.08,-4.45,3.45,0.41,4.88,0.12,NaN
20200102,8017.92,-2.95,9.55,0.51,4.09,7.42,NaN
20200103,2522.88,6.25,10.95,0.68,1.36,13.42,NaN
20200104,2557.44,-2.55,8.85,0.58,3.3,0.92,NaN
20200105,6799.68,-2.45,3.55,0.42,4.88,0.12,NaN
20200106,8536.32,-4.55,5.95,0.45,5.32,0.12,NaN
20200107,7551.36,-4.35,2.55,0.38,2.59,0.72,NaN
20200108,5417.28,-10.35,0.85,0.3,5.89,0.62,NaN
20200109,8536.32,-10.15,7.45,0.3,3.23,0.12,NaN
20200110,2972.16,4.05,11.95,0.65,3.66,3.82,NaN
20200111,5633.28,7.95,21.15,1.09,4.6,3.62,NaN
20200112,7948.8,-0.45,9.75,0.66,4.17,0.12,NaN
20200113,9434.88,-1.65,10.35,0.58,2.59,0.12,NaN
20200114,8043.84,-1.25,10.75,0.64,3.66,0.12,NaN
20200115,9694.08,-1.05,12.25,0.61,2.73,1.22,NaN
20200116,6635.52,-6.45,3.65,0.41,6.46,2.52,NaN
20200117,9365.76,-7.15,-2.25,0.2,3.16,1.72,NaN
20200118,3248.64,-5.25,7.45,0.44,5.6,15.62,NaN
20200119,4043.52,-10.85,-2.75,0.29,6.03,0.52,NaN
20200120,9201.6,-11.55,-2.35,0.26,3.02,0.12,NaN
20200121,10195.2,-13.05,-3.05,0.24,2.08,0.12,NaN
20200122,10722.24,-13.45,2.45,0.27,1.36,0.12,NaN
20200123,9123.84,-7.95,7.65,0.38,1.94,0.12,NaN
20200124,5970.24,0.75,7.25,0.52,4.02,27.12,NaN
20200125,4397.76,-0.45,5.95,0.57,2.87,3.62,NaN
20200126,4371.84,-0.35,1.45,0.49,4.6,0.92,NaN
20200127,2799.36,-0.0499999999999999,1.75,0.48,3.81,0.82,NaN
20200128,7007.04,-1.35,2.35,0.46,3.23,1.52,NaN
20200129,9504,-7.55,2.75,0.38,1.94,0.12,NaN
20200130,9737.28,-7.65,2.75,0.36,1.87,0.12,NaN
20200131,6220.8,-1.15,5.45,0.44,1.36,3.22,NaN
20200201,5745.6,-0.65,2.15,0.55,2.15,2.92,NaN
20200202,4933.44,-0.15,10.65,0.58,5.96,1.82,NaN
20200203,10704.96,0.65,16.55,0.7,3.52,1.12,NaN
20200204,3404.16,-0.85,14.25,0.7,3.95,8.02,NaN
20200205,5788.8,-1.05,4.55,0.41,4.31,9.02,NaN
20200206,4484.16,-1.25,7.85,0.59,1.87,17.82,NaN
20200207,2764.8,-4.55,-0.0499999999999999,0.41,5.03,6.02,NaN
20200208,6315.84,-4.35,1.35,0.4,2.87,0.12,NaN
20200209,7361.28,-2.25,6.15,0.45,3.3,13.12,NaN
20200210,3810.24,2.65,8.25,0.54,3.02,6.52,NaN
20200211,4129.92,-2.25,3.95,0.5,2.66,0.62,NaN
20200212,11076.48,-2.85,3.75,0.43,2.08,20.02,NaN
20200213,3438.72,-7.55,2.55,0.42,3.38,1.32,NaN
20200214,9262.08,-13.35,-4.45,0.22,3.09,0.12,NaN
20200215,12683.52,-12.85,2.75,0.27,3.09,0.12,NaN
20200216,4397.76,-5.15,5.35,0.44,3.16,0.12,NaN
20200217,12597.12,-4.35,8.55,0.44,2.01,0.12,NaN
20200218,3317.76,-2.25,9.85,0.56,3.88,5.62,NaN
20200219,13504.32,-7.55,5.15,0.38,3.45,0.12,NaN
20200220,6272.64,-10.75,-1.15,0.27,2.87,0.12,NaN
20200221,13927.68,-10.65,1.85,0.22,3.38,0.12,NaN
20200222,14558.4,-6.85,8.55,0.29,4.67,0.12,NaN
20200223,14428.8,-5.55,12.15,0.41,3.59,0.12,NaN
20200224,12847.68,-2.25,13.35,0.58,2.15,0.12,NaN
20200225,5063.04,4.85,11.15,0.7,1.65,2.92,NaN
20200226,6065.28,-4.15,12.15,0.6,2.66,23.72,NaN
20200227,10039.68,-7.55,-1.75,0.26,8.62,1.42,NaN
20200228,9668.16,-7.85,-0.65,0.23,6.32,0.12,NaN
20200229,7058.88,-9.45,-0.55,0.26,5.6,0.12,NaN
20200301,14022.72,-7.85,9.85,0.35,3.16,0.12,NaN
20200302,8467.2,7.55,15.65,0.54,3.95,2.32,NaN
20200303,6540.48,1.55,13.55,0.72,3.66,15.02,NaN
20200304,9460.8,-3.05,11.05,0.55,5.32,0.12,NaN
20200305,13988.16,-2.95,11.65,0.48,2.01,0.12,NaN
20200306,6246.72,-0.55,7.75,0.44,4.45,0.92,NaN
20200307,17323.2,-3.35,8.05,0.39,3.52,0.12,NaN
20200308,17513.28,-2.35,17.05,0.52,3.52,0.12,NaN
20200309,17150.4,2.65,20.95,0.74,4.38,2.02,NaN
20200310,6168.96,-0.15,14.85,0.74,5.17,3.82,NaN
20200311,12035.52,-0.15,9.55,0.63,1.8,0.52,NaN
20200312,16416,5.75,19.65,0.85,3.02,2.82,NaN
20200313,17219.52,-0.55,15.45,0.68,6.32,0.12,NaN
20200314,14135.04,-0.85,8.75,0.42,2.15,4.62,NaN
20200315,16122.24,-1.25,13.25,0.47,2.87,0.12,NaN
20200316,13132.8,-0.55,10.55,0.47,3.95,2.52,NaN
20200317,8432.64,-1.55,8.55,0.61,2.95,0.62,NaN
20200318,15655.68,-0.95,14.25,0.66,3.09,24.82,NaN
20200319,13919.04,9.85,19.25,1.14,3.16,16.52,NaN
20200320,10653.12,-0.25,23.05,0.91,6.18,14.52,NaN
20200321,16675.2,-1.85,5.25,0.37,2.73,0.12,NaN
20200322,19405.44,0.05,10.15,0.38,4.09,2.82,NaN
20200323,5702.4,2.95,7.45,0.64,3.66,10.12,NaN
20200324,20191.68,3.05,9.75,0.6,1.94,2.22,NaN
20200325,16856.64,0.65,12.45,0.7,2.15,1.02,NaN
20200326,19146.24,0.95,21.25,0.82,2.87,1.72,NaN
20200327,19189.44,9.25,16.75,0.91,1.08,8.02,NaN
20200328,12856.32,11.75,17.95,1.25,3.16,43.52,NaN
20200329,16381.44,10.25,26.35,1.27,6.25,0.12,NaN
20200330,7948.8,4.45,12.35,0.71,4.53,0.72,NaN
20200331,10825.92,4.65,8.85,0.62,2.37,0.52,NaN
20200401,11862.72,-0.55,12.45,0.59,3.02,0.42,NaN
20200402,20718.72,-0.15,14.35,0.51,4.45,0.12,NaN
20200403,21487.68,2.05,15.65,0.5,3.88,0.12,NaN
20200404,20157.12,4.45,14.65,0.62,1.44,0.12,NaN
20200405,16277.76,0.05,20.35,0.79,2.01,1.12,NaN
20200406,21980.16,0.95,18.55,0.6,1.22,0.12,NaN
20200407,10575.36,7.05,18.65,0.9,2.66,20.62,NaN
20200408,19319.04,7.85,20.85,1.06,3.59,0.12,NaN
20200409,14152.32,0.15,11.95,0.59,6.25,6.32,NaN
20200410,9616.32,-0.15,5.55,0.41,6.9,0.92,NaN
20200411,15595.2,0.95,12.45,0.47,4.02,0.12,NaN
20200412,12234.24,4.35,19.95,0.71,3.38,7.82,NaN
20200413,11370.24,2.15,16.95,0.85,6.32,12.02,NaN
20200414,15672.96,-2.55,8.35,0.42,3.66,0.12,NaN
20200415,19932.48,-2.35,9.75,0.4,4.09,2.92,NaN
20200416,10765.44,-3.15,6.15,0.35,4.24,0.12,NaN
20200417,14152.32,-1.95,7.25,0.55,3.02,16.22,NaN
20200418,14446.08,0.55,10.15,0.54,3.81,0.12,NaN
20200419,20399.04,1.45,14.85,0.63,4.17,0.12,NaN
20200420,23518.08,3.05,15.55,0.56,2.15,1.32,NaN
20200421,13798.08,-1.65,10.45,0.49,6.75,1.42,NaN
20200422,20995.2,-0.0499999999999999,9.85,0.4,4.24,1.32,NaN
20200423,16502.4,3.75,19.05,0.81,2.8,2.32,NaN
20200424,10903.68,3.15,17.35,0.87,2.01,0.12,NaN
20200425,21997.44,4.15,20.65,0.93,2.66,6.32,NaN
20200426,7706.88,4.35,10.35,0.86,3.81,17.62,NaN
20200427,21384,4.85,15.35,0.57,3.02,0.12,NaN
20200428,11568.96,6.55,16.45,0.76,2.59,2.82,NaN
20200429,13072.32,9.55,21.95,1.1,4.96,14.72,NaN
20200430,13806.72,6.55,14.85,0.99,3.38,3.32,NaN
20200501,18671.04,3.95,14.25,0.83,2.59,0.12,NaN
20200502,13642.56,5.65,21.15,0.96,3.09,5.22,NaN
20200503,22334.4,9.75,24.35,1.26,3.95,0.12,NaN
20200504,24356.16,-0.25,12.55,0.69,4.02,0.12,NaN
20200505,11931.84,1.35,13.85,0.58,2.73,7.02,NaN
20200506,12847.68,-0.85,8.25,0.57,3.3,4.22,NaN
20200507,24624,0.95,17.75,0.65,4.24,0.82,NaN
20200508,13348.8,-2.35,9.55,0.57,2.8,4.42,NaN
20200509,11594.88,-0.65,5.95,0.35,5.24,0.12,NaN
20200510,15249.6,4.45,16.95,0.54,3.88,1.62,NaN
20200511,9218.88,0.45,6.95,0.58,4.96,1.82,NaN
20200512,20917.44,-0.25,12.75,0.59,4.38,1.22,NaN
20200513,27406.08,3.75,18.25,0.52,2.23,0.12,NaN
20200514,14178.24,12.25,20.25,0.98,3.09,3.02,NaN
20200515,19068.48,12.75,27.05,1.55,4.96,17.32,NaN
20200516,26179.2,12.95,24.15,1.12,2.44,0.12,NaN
20200517,20831.04,14.25,25.35,1.31,4.17,5.12,NaN
20200518,20364.48,13.95,25.05,1.39,4.24,0.12,NaN
20200519,23016.96,8.45,21.65,0.96,5.6,0.12,NaN
20200520,24096.96,8.45,19.05,0.67,4.81,0.12,NaN
20200521,25254.72,11.85,24.05,1.01,3.66,0.82,NaN
20200522,9564.48,12.75,20.85,1.26,1.8,8.92,NaN
20200523,18973.44,14.35,25.05,1.35,1.94,0.12,NaN
20200524,26248.32,14.55,28.55,1.58,2.95,0.12,NaN
20200525,24831.36,14.75,31.75,1.88,2.23,0.12,NaN
20200526,26861.76,16.15,31.95,1.68,2.73,0.12,NaN
20200527,20977.92,17.85,27.85,1.54,3.09,1.12,NaN
20200528,17115.84,18.65,27.35,1.65,3.3,5.22,NaN
20200529,19180.8,11.55,26.95,1.59,4.17,15.12,NaN
20200530,24399.36,6.55,22.05,1.12,3.23,0.42,NaN
20200531,25617.6,3.95,18.15,0.8,3.09,0.12,NaN
20200601,27302.4,10.55,22.25,0.77,2.44,1.02,NaN
20200602,21755.52,12.25,27.85,1.48,3.81,0.12,NaN
20200603,23794.56,15.45,29.55,1.89,4.96,0.72,NaN
20200604,22308.48,17.15,29.55,1.92,2.73,5.02,NaN
20200605,25021.44,17.25,26.75,1.88,2.3,0.12,NaN
20200606,24373.44,10.15,28.25,1.53,3.52,0.12,NaN
20200607,26455.68,8.55,25.35,1.21,2.37,0.12,NaN
20200608,27440.64,10.15,27.55,1.21,0.86,0.12,NaN
20200609,26930.88,16.25,33.25,1.8,1.72,0.72,NaN
20200610,25807.68,18.55,32.85,2.33,4.45,18.72,NaN
20200611,24330.24,11.45,25.25,1.53,4.45,0.12,NaN
20200612,27293.76,10.05,25.15,1.2,3.45,0.12,NaN
20200613,24710.4,9.25,22.65,0.92,2.08,0.12,NaN
20200614,26930.88,10.95,22.45,1.05,3.16,2.82,NaN
20200615,23353.92,10.45,24.45,1.27,2.73,0.12,NaN
20200616,26153.28,12.45,26.85,1.23,2.15,0.12,NaN
20200617,25202.88,14.45,25.95,1.34,2.59,0.12,NaN
20200618,24770.88,16.75,26.95,1.51,2.95,0.12,NaN
20200619,19448.64,13.85,27.05,1.56,1.29,2.42,NaN
20200620,24425.28,14.15,29.25,1.66,1.01,0.12,NaN
20200621,25358.4,16.75,31.75,1.85,1.87,0.12,NaN
20200622,21409.92,18.75,29.95,1.88,2.44,4.22,NaN
20200623,19094.4,13.05,27.25,1.74,4.31,5.02,NaN
20200624,22965.12,12.75,25.35,1.44,3.74,0.12,NaN
20200625,22921.92,13.15,27.15,1.39,3.09,2.92,NaN
20200626,24900.48,16.95,28.55,1.63,4.02,6.02,NaN
20200627,20208.96,16.75,25.85,1.84,5.39,18.62,NaN
20200628,22377.6,15.45,29.25,1.9,3.02,0.12,NaN
