## Site Characteristics
Country     = 'USA'
Station     = '285218'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.4827; Latitude = 40.8425; Elevation = 368.48; AngstromA = 0.21; AngstromB = 0.48; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7672.32,-4.85,2.85,0.4,4.53,0,NaN
20200102,7931.52,-3.45,8.55,0.5,3.52,5.4,NaN
20200103,2384.64,5.35,10.05,0.64,1.29,11.6,NaN
20200104,2479.68,-2.95,7.75,0.58,3.09,0.8,NaN
20200105,6799.68,-2.75,2.95,0.41,4.45,0.4,NaN
20200106,8588.16,-4.95,5.45,0.45,4.96,0,NaN
20200107,7560,-4.85,2.25,0.39,2.37,0,NaN
20200108,5546.88,-10.75,0.15,0.29,5.46,0.4,NaN
20200109,8225.28,-10.65,6.65,0.3,3.02,0,NaN
20200110,3024,3.25,10.95,0.67,3.16,3.3,NaN
20200111,5166.72,6.95,20.45,1.13,3.74,2.1,NaN
20200112,8173.44,-0.95,8.65,0.66,3.95,0,NaN
20200113,9383.04,-2.25,9.35,0.59,2.44,0,NaN
20200114,8596.8,-1.65,9.75,0.64,3.38,0,NaN
20200115,9624.96,-1.65,11.15,0.62,2.44,0.9,NaN
20200116,6091.2,-6.75,3.05,0.42,6.03,2.2,NaN
20200117,9167.04,-7.35,-2.55,0.2,3.02,2.4,NaN
20200118,3170.88,-5.95,6.55,0.45,5.24,12,NaN
20200119,3870.72,-11.15,-3.55,0.3,5.6,0.5,NaN
20200120,9720,-11.75,-2.95,0.26,2.59,0,NaN
20200121,10074.24,-13.35,-3.65,0.25,1.87,0,NaN
20200122,10670.4,-13.75,1.55,0.28,1.36,0,NaN
20200123,9141.12,-8.55,6.75,0.39,1.94,0,NaN
20200124,5469.12,0.15,6.55,0.52,3.81,26.6,NaN
20200125,4432.32,-0.75,5.35,0.55,2.59,3.5,NaN
20200126,4881.6,-0.65,0.75,0.49,4.31,1,NaN
20200127,2911.68,-0.35,1.05,0.48,3.45,0.6,NaN
20200128,7007.04,-1.85,1.75,0.46,2.8,1.1,NaN
20200129,9478.08,-7.75,2.25,0.39,1.8,0,NaN
20200130,10013.76,-8.05,2.15,0.37,1.72,0,NaN
20200131,5728.32,-1.85,4.75,0.44,1.22,2.2,NaN
20200201,6194.88,-1.35,1.85,0.55,2.01,3,NaN
20200202,4924.8,-0.75,10.05,0.58,5.46,1.4,NaN
20200203,10584,-0.15,15.95,0.7,3.09,0.8,NaN
20200204,3421.44,-1.45,13.65,0.7,3.59,6.6,NaN
20200205,5996.16,-1.65,3.65,0.39,4.17,12.7,NaN
20200206,4622.4,-1.85,6.65,0.58,1.72,15,NaN
20200207,2566.08,-4.95,-0.55,0.39,4.67,4.3,NaN
20200208,6056.64,-4.85,0.95,0.4,2.66,0.6,NaN
20200209,7326.72,-2.85,5.45,0.45,3.02,13.7,NaN
20200210,3706.56,1.75,7.65,0.55,2.73,5.1,NaN
20200211,4069.44,-2.75,3.35,0.49,2.3,0.5,NaN
20200212,11059.2,-3.35,3.15,0.42,1.8,17.5,NaN
20200213,3153.6,-8.35,1.95,0.42,3.16,1.4,NaN
20200214,9590.4,-13.95,-4.95,0.22,2.87,0,NaN
20200215,12795.84,-13.65,1.95,0.27,2.8,0,NaN
20200216,4129.92,-5.65,4.75,0.45,2.8,0,NaN
20200217,12337.92,-4.95,8.05,0.44,1.94,0.6,NaN
20200218,3300.48,-2.65,9.35,0.57,3.38,4.2,NaN
20200219,13417.92,-8.05,4.65,0.38,3.09,0,NaN
20200220,6091.2,-11.05,-1.65,0.26,2.59,0,NaN
20200221,13910.4,-10.95,1.45,0.23,3.16,0,NaN
20200222,14359.68,-7.25,7.95,0.3,4.31,0,NaN
20200223,14256,-5.75,11.55,0.41,3.3,0,NaN
20200224,12441.6,-2.45,12.85,0.59,2.01,0,NaN
20200225,5166.72,3.95,10.65,0.69,1.65,2.8,NaN
20200226,5909.76,-4.85,11.25,0.6,2.51,20.8,NaN
20200227,10419.84,-8.15,-2.25,0.25,8.19,1.2,NaN
20200228,10419.84,-8.35,-1.15,0.22,6.03,0,NaN
20200229,7352.64,-10.35,-0.85,0.27,5.17,0,NaN
20200301,13538.88,-9.05,8.75,0.36,2.95,0,NaN
20200302,7473.6,6.55,14.65,0.53,3.45,2.1,NaN
20200303,6384.96,0.85,13.05,0.73,3.09,17,NaN
20200304,8069.76,-3.75,10.45,0.55,4.81,0,NaN
20200305,15232.32,-3.65,10.85,0.49,1.94,0,NaN
20200306,4622.4,-1.45,7.15,0.45,4.09,0.6,NaN
20200307,17375.04,-3.85,7.65,0.38,3.16,0,NaN
20200308,17426.88,-2.85,16.35,0.53,3.38,0,NaN
20200309,16770.24,1.35,20.35,0.77,4.02,2.2,NaN
20200310,5849.28,-0.55,14.15,0.75,4.81,2.7,NaN
20200311,12096,-0.65,8.95,0.64,1.72,0,NaN
20200312,16606.08,4.95,18.95,0.87,2.73,0.9,NaN
20200313,17452.8,-1.35,14.75,0.68,5.82,0,NaN
20200314,14385.6,-1.45,8.15,0.42,1.94,1.8,NaN
20200315,17193.6,-1.85,12.75,0.46,2.8,0,NaN
20200316,13011.84,-1.55,10.15,0.49,3.59,1.9,NaN
20200317,8709.12,-2.25,7.95,0.61,2.73,0.5,NaN
20200318,15284.16,-1.85,13.75,0.66,2.8,25.9,NaN
20200319,14212.8,9.05,18.35,1.15,2.95,15.1,NaN
20200320,10540.8,-0.95,22.55,0.92,5.82,13.6,NaN
20200321,16925.76,-2.75,4.75,0.35,2.51,0,NaN
20200322,19353.6,-0.75,9.65,0.38,3.95,2.6,NaN
20200323,5451.84,2.25,7.15,0.65,3.38,12,NaN
20200324,20088,2.25,9.05,0.6,1.8,2,NaN
20200325,17746.56,0.25,12.15,0.71,2.01,0.5,NaN
20200326,19163.52,0.45,20.65,0.84,2.73,1.7,NaN
20200327,19275.84,8.35,16.05,0.91,1.01,9,NaN
20200328,12424.32,10.85,17.15,1.26,3.02,51.2,NaN
20200329,16243.2,9.75,25.75,1.27,5.96,0,NaN
20200330,7032.96,3.75,11.85,0.71,4.17,0.9,NaN
20200331,10955.52,3.85,8.45,0.62,2.23,0,NaN
20200401,11888.64,-1.35,12.25,0.59,2.8,0,NaN
20200402,20917.44,-0.85,13.95,0.51,4.02,0,NaN
20200403,21522.24,1.05,15.15,0.5,3.45,0,NaN
20200404,20666.88,3.85,14.65,0.62,1.29,0,NaN
20200405,17245.44,-0.85,19.75,0.78,1.87,1,NaN
20200406,21997.44,-0.15,18.25,0.59,1.08,0,NaN
20200407,10895.04,5.65,18.35,0.91,2.44,22.2,NaN
20200408,20174.4,7.45,20.45,1.04,3.3,0,NaN
20200409,13711.68,-0.75,11.75,0.58,5.75,1.6,NaN
20200410,11240.64,-0.95,5.25,0.41,6.25,0.6,NaN
20200411,15776.64,0.25,12.15,0.48,3.74,0,NaN
20200412,11759.04,3.45,19.65,0.72,3.16,8.6,NaN
20200413,11897.28,1.55,16.35,0.85,5.96,13.5,NaN
20200414,15768,-3.35,8.15,0.41,3.38,0,NaN
20200415,19388.16,-3.35,9.75,0.4,3.88,3.7,NaN
20200416,10290.24,-3.85,5.75,0.34,3.95,0.3,NaN
20200417,13798.08,-3.05,6.25,0.54,2.73,12.2,NaN
20200418,14541.12,-0.25,9.75,0.53,3.52,0,NaN
20200419,20200.32,0.55,14.85,0.64,3.95,0,NaN
20200420,23846.4,2.55,15.25,0.55,2.08,0.9,NaN
20200421,14428.8,-2.35,10.05,0.48,6.25,1.3,NaN
20200422,21021.12,-1.15,9.35,0.39,3.95,1,NaN
20200423,16614.72,2.45,18.65,0.82,2.59,2,NaN
