## Site Characteristics
Country     = 'USA'
Station     = '311587'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.0229; Latitude = 40.0713; Elevation = 312; AngstromA = 0.22; AngstromB = 0.49; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8216.64,-2.95,5.75,0.36,4.24,0,NaN
20200102,8622.72,-2.25,9.25,0.45,2.95,2.9,NaN
20200103,2937.6,5.05,8.95,0.78,1.44,5.8,NaN
20200104,3507.84,-0.55,12.05,0.69,4.31,0,NaN
20200105,7931.52,-1.15,4.65,0.38,4.6,0,NaN
20200106,8916.48,-1.85,7.35,0.4,4.53,0,NaN
20200107,7309.44,-5.85,1.75,0.33,2.23,4.8,NaN
20200108,6445.44,-10.05,2.15,0.3,5.82,0,NaN
20200109,9132.48,-10.15,0.85,0.23,3.74,0,NaN
20200110,3214.08,-0.85,11.95,0.63,3.66,0,NaN
20200111,6808.32,8.65,18.85,1.17,5.53,12,NaN
20200112,8449.92,-0.25,13.55,0.74,4.31,0,NaN
20200113,9253.44,-0.35,8.55,0.65,1.94,0,NaN
20200114,6609.6,0.15,6.55,0.67,2.66,1.4,NaN
20200115,9901.44,-0.05,12.65,0.62,2.95,0.6,NaN
20200116,7931.52,-5.05,6.75,0.47,6.82,1.3,NaN
20200117,10445.76,-6.35,-1.15,0.16,4.02,0,NaN
20200118,3706.56,-5.35,3.35,0.35,5.6,11.5,NaN
20200119,5088.96,-7.65,1.55,0.33,5.75,0,NaN
20200120,9659.52,-9.85,-1.85,0.22,4.38,0,NaN
20200121,10601.28,-10.65,-1.65,0.27,2.59,0,NaN
20200122,10972.8,-10.25,2.15,0.31,1.36,0,NaN
20200123,10177.92,-7.45,2.65,0.36,2.3,0,NaN
20200124,8112.96,-2.85,6.15,0.51,4.02,29.7,NaN
20200125,4026.24,1.45,6.55,0.56,2.59,1.2,NaN
20200126,5857.92,0.95,4.05,0.46,3.38,0,NaN
20200127,3862.08,1.35,4.15,0.45,3.66,0,NaN
20200128,8622.72,0.35,3.95,0.43,3.95,0,NaN
20200129,10869.12,-6.75,4.05,0.4,2.51,0,NaN
20200130,10791.36,-6.65,2.05,0.32,2.15,0,NaN
20200131,7801.92,-1.25,4.35,0.44,2.01,0,NaN
20200201,4717.44,0.35,3.85,0.56,1.65,2.3,NaN
20200202,5218.56,1.25,11.95,0.54,4.6,0,NaN
20200203,11430.72,5.85,18.75,0.64,3.45,0,NaN
20200204,4086.72,1.75,16.75,0.83,2.51,1.7,NaN
20200205,5028.48,0.85,4.35,0.48,3.81,0.6,NaN
20200206,5892.48,1.85,5.45,0.67,2.8,14.1,NaN
20200207,3922.56,-2.15,4.55,0.49,5.75,7,NaN
20200208,7145.28,-2.35,3.65,0.33,2.51,1.1,NaN
20200209,7758.72,-0.95,6.55,0.42,3.16,3.6,NaN
20200210,3551.04,4.15,8.35,0.6,2.73,2,NaN
20200211,4717.44,0.65,8.85,0.61,3.16,0,NaN
20200212,10800,0.05,5.85,0.42,3.38,8.2,NaN
20200213,6117.12,-3.65,8.45,0.55,4.17,0.4,NaN
20200214,10264.32,-11.45,-1.35,0.22,4.24,0,NaN
20200215,13409.28,-11.85,0.35,0.21,3.52,0,NaN
20200216,4631.04,-3.25,8.45,0.41,2.08,0,NaN
20200217,13374.72,-2.65,10.25,0.42,2.23,0,NaN
20200218,3931.2,0.05,9.05,0.65,4.38,2.1,NaN
20200219,14247.36,-4.05,7.35,0.37,4.17,0,NaN
20200220,8804.16,-8.55,1.45,0.24,3.38,0,NaN
20200221,14765.76,-7.95,2.55,0.18,3.38,0,NaN
20200222,15189.12,-5.25,10.85,0.22,3.52,0,NaN
20200223,15111.36,-4.05,14.05,0.31,2.66,0,NaN
20200224,13901.76,-0.15,13.75,0.46,2.23,0,NaN
20200225,5814.72,5.45,8.95,0.76,1.65,0.6,NaN
20200226,11128.32,-1.75,12.25,0.71,3.23,12.3,NaN
20200227,10497.6,-3.95,0.55,0.28,7.9,0,NaN
20200228,8208,-5.35,3.55,0.26,5.24,0,NaN
20200229,8683.2,-5.85,-0.25,0.21,5.67,0,NaN
20200301,15949.44,-4.15,9.55,0.28,2.95,0,NaN
20200302,11275.2,2.35,17.55,0.58,3.02,3.6,NaN
20200303,9478.08,3.65,13.05,0.79,3.88,6.9,NaN
20200304,16174.08,-1.05,14.35,0.53,5.17,0.4,NaN
20200305,17176.32,-1.25,11.35,0.45,2.66,0,NaN
20200306,4907.52,-0.85,8.75,0.45,4.45,0.7,NaN
20200307,18221.76,-2.65,9.25,0.37,5.03,0,NaN
20200308,18247.68,-1.05,16.75,0.43,2.95,0,NaN
20200309,18256.32,5.15,22.25,0.54,3.09,0.5,NaN
20200310,5719.68,-0.35,17.75,0.78,4.31,1.7,NaN
20200311,13936.32,-0.05,8.25,0.62,1.8,0.3,NaN
20200312,18195.84,4.95,16.85,0.86,3.81,5.3,NaN
20200313,17003.52,2.25,18.95,0.8,6.03,0,NaN
20200314,16139.52,0.85,10.45,0.41,2.51,3.4,NaN
20200315,12510.72,-3.05,10.65,0.48,2.37,0,NaN
20200316,15361.92,-1.95,9.15,0.44,4.17,1.7,NaN
20200317,7369.92,-0.65,11.35,0.67,2.73,0,NaN
20200318,18083.52,0.15,11.65,0.59,3.74,20.9,NaN
20200319,16467.84,8.55,17.15,1.09,2.8,1.9,NaN
20200320,14973.12,2.35,25.05,1.07,5.53,0.9,NaN
20200321,18619.2,-1.35,8.85,0.46,3.74,0,NaN
20200322,16148.16,-0.85,8.85,0.4,4.09,0.9,NaN
20200323,5711.04,2.05,6.35,0.59,3.38,4.1,NaN
20200324,20934.72,3.75,11.45,0.61,2.23,3.1,NaN
20200325,9918.72,1.95,7.35,0.72,2.23,5.3,NaN
20200326,20269.44,4.15,16.45,0.83,3.23,1.9,NaN
20200327,18826.56,8.55,18.25,0.92,1.8,9.2,NaN
20200328,11759.04,8.95,12.35,0.96,3.66,15.9,NaN
20200329,17539.2,8.75,17.95,1.06,4.67,0.6,NaN
20200330,14834.88,5.65,16.95,0.68,4.24,0,NaN
20200331,10298.88,3.75,9.75,0.65,2.15,2.8,NaN
20200401,12718.08,2.25,11.75,0.6,3.23,0,NaN
20200402,20295.36,3.55,14.85,0.46,5.75,0,NaN
20200403,22256.64,5.55,16.55,0.53,5.75,0,NaN
20200404,10506.24,3.65,14.65,0.71,2.01,0,NaN
20200405,14489.28,3.75,20.95,0.91,1.94,0.3,NaN
20200406,22870.08,6.35,19.45,0.59,2.37,0,NaN
