"deltT","deltR","Tmn","RAINmn"
"-1","0.25",9.2558521560575,0.775119780971937
"-1","0.5",9.2558521560575,1.55023956194387
"-1","0.75",9.2558521560575,2.32535934291581
"-1","1",9.2558521560575,3.10047912388775
"-1","1.25",9.2558521560575,3.87559890485968
"-1","1.5",9.2558521560575,4.65071868583162
"-1","1.75",9.2558521560575,5.42583846680356
"-1","2",9.2558521560575,6.2009582477755
"-0.8","0.25",9.45585215605749,0.775119780971937
"-0.8","0.5",9.45585215605749,1.55023956194387
"-0.8","0.75",9.45585215605749,2.32535934291581
"-0.8","1",9.45585215605749,3.10047912388775
"-0.8","1.25",9.45585215605749,3.87559890485968
"-0.8","1.5",9.45585215605749,4.65071868583162
"-0.8","1.75",9.45585215605749,5.42583846680356
"-0.8","2",9.45585215605749,6.2009582477755
"-0.6","0.25",9.6558521560575,0.775119780971937
"-0.6","0.5",9.6558521560575,1.55023956194387
"-0.6","0.75",9.6558521560575,2.32535934291581
"-0.6","1",9.6558521560575,3.10047912388775
"-0.6","1.25",9.6558521560575,3.87559890485968
"-0.6","1.5",9.6558521560575,4.65071868583162
"-0.6","1.75",9.6558521560575,5.42583846680356
"-0.6","2",9.6558521560575,6.2009582477755
"-0.4","0.25",9.8558521560575,0.775119780971937
"-0.4","0.5",9.8558521560575,1.55023956194387
"-0.4","0.75",9.8558521560575,2.32535934291581
"-0.4","1",9.8558521560575,3.10047912388775
"-0.4","1.25",9.8558521560575,3.87559890485968
"-0.4","1.5",9.8558521560575,4.65071868583162
"-0.4","1.75",9.8558521560575,5.42583846680356
"-0.4","2",9.8558521560575,6.2009582477755
"-0.2","0.25",10.0558521560575,0.775119780971937
"-0.2","0.5",10.0558521560575,1.55023956194387
"-0.2","0.75",10.0558521560575,2.32535934291581
"-0.2","1",10.0558521560575,3.10047912388775
"-0.2","1.25",10.0558521560575,3.87559890485968
"-0.2","1.5",10.0558521560575,4.65071868583162
"-0.2","1.75",10.0558521560575,5.42583846680356
"-0.2","2",10.0558521560575,6.2009582477755
"0","0.25",10.2558521560575,0.775119780971937
"0","0.5",10.2558521560575,1.55023956194387
"0","0.75",10.2558521560575,2.32535934291581
"0","1",10.2558521560575,3.10047912388775
"0","1.25",10.2558521560575,3.87559890485968
"0","1.5",10.2558521560575,4.65071868583162
"0","1.75",10.2558521560575,5.42583846680356
"0","2",10.2558521560575,6.2009582477755
"0.2","0.25",10.4558521560575,0.775119780971937
"0.2","0.5",10.4558521560575,1.55023956194387
"0.2","0.75",10.4558521560575,2.32535934291581
"0.2","1",10.4558521560575,3.10047912388775
"0.2","1.25",10.4558521560575,3.87559890485968
"0.2","1.5",10.4558521560575,4.65071868583162
"0.2","1.75",10.4558521560575,5.42583846680356
"0.2","2",10.4558521560575,6.2009582477755
"0.4","0.25",10.6558521560575,0.775119780971937
"0.4","0.5",10.6558521560575,1.55023956194387
"0.4","0.75",10.6558521560575,2.32535934291581
"0.4","1",10.6558521560575,3.10047912388775
"0.4","1.25",10.6558521560575,3.87559890485968
"0.4","1.5",10.6558521560575,4.65071868583162
"0.4","1.75",10.6558521560575,5.42583846680356
"0.4","2",10.6558521560575,6.2009582477755
"0.6","0.25",10.8558521560575,0.775119780971937
"0.6","0.5",10.8558521560575,1.55023956194387
"0.6","0.75",10.8558521560575,2.32535934291581
"0.6","1",10.8558521560575,3.10047912388775
"0.6","1.25",10.8558521560575,3.87559890485968
"0.6","1.5",10.8558521560575,4.65071868583162
"0.6","1.75",10.8558521560575,5.42583846680356
"0.6","2",10.8558521560575,6.2009582477755
"0.8","0.25",11.0558521560575,0.775119780971937
"0.8","0.5",11.0558521560575,1.55023956194387
"0.8","0.75",11.0558521560575,2.32535934291581
"0.8","1",11.0558521560575,3.10047912388775
"0.8","1.25",11.0558521560575,3.87559890485968
"0.8","1.5",11.0558521560575,4.65071868583162
"0.8","1.75",11.0558521560575,5.42583846680356
"0.8","2",11.0558521560575,6.2009582477755
"1","0.25",11.2558521560575,0.775119780971937
"1","0.5",11.2558521560575,1.55023956194387
"1","0.75",11.2558521560575,2.32535934291581
"1","1",11.2558521560575,3.10047912388775
"1","1.25",11.2558521560575,3.87559890485968
"1","1.5",11.2558521560575,4.65071868583162
"1","1.75",11.2558521560575,5.42583846680356
"1","2",11.2558521560575,6.2009582477755
